species,dispersal_distance_class,dispersal_vector,seed_buoyancy,seed_terminal_velocity,palatability,growth_form,growth_form_aquatic,woodiness,LDMC,SLA,leaf_C,leaf_CN_ratio,leaf_N,leaf_NP_ratio,leaf_P,leaf_chlorophyll,longevity,fruit_type,nectar_production,pollinator_type,seed_bank_persistency,seed_dormancy,seed_longevity_index,seed_mass,RDMC,SRA,SRL,mycorrhiza_colonization_intensity,mycorrhiza_type,root_N,root_P,root_mass_fraction,height,leaf_area,leaf_length,leaf_mass,leaf_thickness,rooting_depth,Grime_strategy,carnivory,leaf_phenology,nitrogen_fixation,parasitism,photosynthetic_pathway
Abies alba,4,AirW,0.62,1.81,2,Phanerophyte,terrestrial,woody,0.364,2.65,504.6,21.7,15.8,10.8,1.5,6.41,4,achene,1,0b,1,4,0.03,19.87,0.253,280.35,8.51,7,EM,10.8,0.88,0.319719666666667,1189.4,13,8.1,3.5,0.559,0.75,C,no,evergreen,no,none,C3
Abies grandis,4,AirW,0.66,1.9,3,Phanerophyte,terrestrial,woody,0.346,3.88,487.1,32.3,13.8,13.3,1.6,5.31,4,achene,1,0b,1,4,0,7.89,0.248,351.78,17.03,18,EM,9.1,0.73,0.315003333333334,1568.1,21.9,16.5,8.1,0.542,0.83,C,no,deciduous,no,none,C3
Acer campestre,4,AirW,0.76,1.52,3,Phanerophyte,terrestrial,woody,0.347,6.1,461.1,11.8,23.8,12.4,1.8,5.4,4,achene,6,0c,1,4,0,19.93,0.271,405.45,97.88,77.3,AM/EM,12.5,0.85,0.094,441.5,1298.4,20.6,32.2,0.431,0.38,CR,no,deciduous,no,none,C3
Acer negundo,4,AirW,0.71,0.78,4,Phanerophyte,terrestrial,woody,0.323,9.35,467.2,29.7,26.1,13.7,2.5,4,4,achene,4,0b,1,4,0.08,13.17,0.255,471.97,130.62,96,AM/EM,16.1,0.92,0.316396,518.6,1747.4,47.7,79.1,0.417,1.31,C,no,deciduous,no,none,C3
Acer platanoides,4,AirW,0.67,0.87,4,Phanerophyte,terrestrial,woody,0.354,8.28,485.9,34.7,21.7,11.2,1.9,5.97,4,achene,6,2,1,4,0,40.2,0.266,233.2,7.5,72,AM/EM,9.3,0.77,0.4395,735.6,2635.4,37.2,139.5,0.411,0.73,C,no,deciduous,no,none,C3
Acer pseudoplatanus,4,AirW,0.94,0.99,4,Phanerophyte,terrestrial,woody,0.325,6.62,465.8,28.8,25.9,12.2,2.1,5.86,4,achene,5,0c,1,4,0,22.16,0.266,236.3,9.78,44.7,AM/EM,10.2,0.96,0.2912,818,3213.1,51.9,245,0.434,0.95,CR,no,deciduous,no,none,C3
Acer tataricum,4,AirW,0.65,1.5,4,Phanerophyte,terrestrial,woody,0.452,8.44,488.9,27.7,21.3,9.4,2.7,5.88,4,capsule,5,2,1,2,0.06,11.59,0.267,445.98,27.24,71,AM/EM,22.2,0.86,0.305197666666667,194.3,748,20.9,37.6,0.421,1.83,C,no,deciduous,no,none,C3
Achillea filipendulina,2,Passive,0.77,1.4,3,Hemicryptophyte,terrestrial,non-woody,0.183,8.11,423.2,17.2,28,10,3.1,7.4,4,achene,6,2,2,2,0.17,0.41,0.146,1190.03,91.77,57.2,AM,12.2,1.08,0.479137333333333,26.6,1854.9,73.9,83.6,0.478,0.57,CSR,no,deciduous,no,none,C3
Achillea millefolium,2,Myr,0.79,1.34,6,Chamaephyte,terrestrial,non-woody,0.21,6.32,424.6,19.7,24.9,13.9,2.6,4.29,4,achene,6,2,3,2,0.06,0.43,0.226,2570.2,796.27,67,AM,13,1.2,0.5364,9.4,168.7,37.6,18.7,0.476,0.44,CSR,no,evergreen,no,none,C3
Achillea ptarmica,2,Passive,0.96,1.95,3,Hemicryptophyte,terrestrial,semi-woody,0.18,9.3,403.1,16.5,45.6,11.4,2.8,7.66,4,achene,6,2,2,2,0.02,0.46,0.068,1303.59,99.85,33.3,AM,28.9,1.12,0.3291,22.6,56.3,12.9,2.4,0.458,0.48,CS,no,deciduous,no,none,C3
